objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,snMedian,low_z
1237654601028468953,154.473987679398,3.99720841742018,4.924875,0.1598417,GALAXY,20.12187,18.03113,16.83934,16.349,15.96548,0.07530576,0.007979666,0.004703699,0.004411564,0.00920302,21.18029,False
1237654606396719308,153.677117066103,4.95138946566769,7.974094,0.04526504,GALAXY,17.07419,16.0701,15.65694,15.37421,15.22871,0.01094869,0.003286872,0.003079776,0.003257849,0.006758919,23.23547,True
1237654668662472857,151.446339073464,-1.18059395923368,5.31775,0.03225636,GALAXY,18.22088,17.27114,16.90005,16.65673,16.48033,0.02431279,0.005970229,0.005979432,0.007607726,0.02118989,11.50011,True
1237654669737853104,155.235969369106,-0.374445004662958,4.265968,0.05350371,GALAXY,19.01946,17.78716,17.18327,16.84531,16.5856,0.0398249,0.00707354,0.006219102,0.006720521,0.01883738,13.7366,True
1237654670274920558,155.573848684464,0.0102925100182187,3.7516,0.02122095,GALAXY,18.51334,17.46715,17.0207,16.77336,16.53491,0.02295139,0.005141806,0.004951403,0.005521763,0.01570731,19.66894,True
1237657627916370077,176.94061084073,51.0842082613323,11.06163,0.05630213,GALAXY,17.30744,16.05289,15.48974,15.15733,14.92138,0.01911806,0.003607542,0.003464068,0.003264528,0.007232034,16.83346,True
1237657627916435497,177.004322702873,51.1708452989632,4.292296,0.05859168,GALAXY,19.62367,17.6941,16.92064,16.52618,16.25021,0.04731191,0.005862532,0.004561043,0.004574371,0.01008175,16.36051,True
1237657627916435503,177.039516078807,51.0601094531589,3.642748,0.05452584,GALAXY,18.75917,17.70794,17.32332,17.03079,16.92615,0.02512345,0.005899823,0.005680551,0.006034859,0.01599552,14.64373,True
1237657627916435505,177.045887158038,51.0353963861548,4.593348,0.1280638,GALAXY,19.36806,17.90194,17.11906,16.70568,16.43253,0.05425416,0.008496122,0.006299863,0.006381432,0.01537265,10.8961,False
1237657627916435531,177.095465611089,51.1208145882322,4.488956,0.1277395,GALAXY,20.08789,18.12454,17.0764,16.62875,16.26792,0.07487565,0.008336619,0.005364445,0.005266576,0.01106663,14.96169,False
1237657627916501180,177.322538702592,51.0546132629572,3.933647,0.1256479,GALAXY,20.5751,18.61379,17.58389,17.13967,16.7912,0.1077312,0.01113519,0.007046673,0.006927895,0.01549173,10.7558,False
1237657627918794857,185.70920735284,51.3591323823073,5.156291,0.0860529,GALAXY,19.15925,17.65088,16.88229,16.47805,16.23652,0.04325413,0.007010584,0.005352495,0.005361216,0.01270056,14.62214,True
1237657628453371996,177.182432178116,51.5584273595408,3.887803,0.1295499,GALAXY,20.19978,18.09475,16.98591,16.51888,16.14647,0.08423449,0.007719576,0.005065025,0.004920254,0.009522952,16.45905,False
1237657628453372021,177.217977752724,51.5521663239435,12.27668,0.1325608,GALAXY,18.80937,16.96921,15.86479,15.39777,14.92705,0.04526688,0.005256289,0.003548223,0.003467038,0.006142768,20.49858,False
1237657628453372065,177.254646699552,51.4595298194775,4.261516,0.1294274,GALAXY,20.06386,18.22478,17.2251,16.81441,16.47161,0.08643535,0.009058905,0.006180334,0.006245129,0.0132984,13.25491,False
1237657628453372068,177.247469489861,51.5202643839988,7.364056,0.1315284,GALAXY,19.55443,17.51005,16.48877,16.06463,15.71855,0.08098432,0.007186731,0.004875313,0.004907474,0.01034902,14.82619,False
1237657606425477330,127.763322100079,38.7979272999265,3.237114,0.1295168,GALAXY,20.03224,18.46048,17.57058,17.13597,16.80852,0.06393715,0.009372515,0.00646568,0.006023434,0.01262759,12.94538,False
1237657606425477415,127.828529249083,38.7848487096478,7.118739,0.2070079,GALAXY,20.28644,18.27766,16.90385,16.36235,15.9798,0.1624119,0.01445677,0.006722559,0.005845395,0.01255867,11.5032,False
1237661971733217472,209.809880250795,6.84398304980748,3.846619,0.1343902,GALAXY,20.45091,18.40616,17.32897,16.8621,16.51886,0.1126159,0.00914591,0.006121138,0.005621355,0.01312889,18.79946,False
1237661971733283012,209.959458555071,6.91570020001314,3.064593,0.1038979,GALAXY,20.59589,18.71889,17.74173,17.32649,16.96528,0.09659004,0.009804044,0.006948215,0.006516669,0.01541811,17.71061,False
1237661972267925678,204.888329615512,7.49766367377658,7.67466,0.08401597,GALAXY,18.40085,16.72132,15.92424,15.5211,15.2133,0.02947849,0.004470267,0.00358243,0.003651742,0.007028135,27.58249,True
1237661972268122340,205.29888896934,7.61379679091119,5.489407,0.1710345,GALAXY,20.72087,18.75801,17.52352,17.03379,16.69103,0.1334691,0.01316001,0.007090094,0.007017065,0.01509029,14.23824,False
1237661972268187772,205.449095868278,7.61699333011375,11.27475,0.02328372,GALAXY,16.98129,15.92777,15.46047,15.22807,15.00533,0.01421712,0.003496445,0.003323546,0.00379246,0.008536658,18.08216,True
1237661972270022909,209.759499675963,7.26529150199953,10.39595,0.1343563,GALAXY,18.79393,17.23297,16.3182,15.89342,15.58082,0.06196285,0.008219455,0.005787764,0.005858037,0.01293018,15.07863,False
