objid,Av_50,Av_16,Av_84,age_50,age_16,age_84,mass_50,mass_16,mass_84,metallicity_50,metallicity_16,metallicity_84,tau_50,tau_16,tau_84,f5100A_50,f5100A_16,f5100A_84,bpt_class
1237648720142073942,0.030940077161275253,0.008783117992997417,0.07222639767854462,9.410417894685066,7.604467886320569,10.459724259287634,11.339495447771814,11.294654973612625,11.367438221796668,1.1277733893820474,0.9756505534338591,1.4522891786385876,0.6754847190613291,0.37533859851544926,0.9986479913634074,1.0652525051264731e-17,1.0175315568843108e-17,1.1818600951242574e-17,agn
1237648720142073959,0.13151754162141763,0.04502219606734741,0.2091225452007109,10.030648462070534,8.506208981997482,10.829591293122421,11.73405792835409,11.688129811382296,11.746442836833543,1.5749692300514737,1.2451329376113542,1.919461512823111,0.5757564331244532,0.29637260754986017,0.8866837972401477,1.086338485874072e-17,1.0183798797095384e-17,1.2154648739234901e-17,agn
1237648721215946942,0.6736586395695321,0.6260778171371288,0.7364193148251561,9.632923552434878,6.507314710188333,11.866681873442664,11.059458767968357,10.967968600422816,11.110860364214858,1.0966288482102957,1.0040878137621516,1.2603792450510336,1.6620570552210707,1.0411534532242819,2.2027903068294292,1.3718413055000915e-17,1.0990071246530237e-17,1.982733327781828e-17,agn
1237648721216012470,0.617623531407493,0.5525365320623195,0.6749959352836089,10.01600660483971,7.982975015370201,11.997297866648898,10.704925711792624,10.652486938052336,10.745378597724295,1.6782386812246397,1.375750834662005,1.9540830634509925,0.8901193052251518,0.496291444829614,1.3138366165310484,1.2549647398844924e-17,1.0724096449877817e-17,1.5897064007941473e-17,agn
1237651752384856377,0.8618964189892779,0.7510735284925086,0.9483156236064415,7.922635006415664,5.367661369501012,10.16786030303062,11.468056117425604,11.371984579879088,11.530667049885961,0.15616266773762078,0.11555787056344005,0.2488448691712146,0.8008500993555022,0.4375005883704972,1.2953268492278218,1.1121075211873265e-17,1.0319308499324113e-17,1.2762250815271278e-17,agn
1237648721217781869,0.33148168610867157,0.3005352957397957,0.3606080484027978,8.260429171469895,7.626328799110034,9.847146762854793,10.980327247329196,10.965066161754217,11.021627668648684,1.0229243623944477,0.963212401733203,1.116736492268849,1.031690856857571,0.8062993531639092,1.3779703212436498,1.1735211629245745e-17,1.0424701809909006e-17,1.464875916880371e-17,agn
1237648722289623248,0.37974698987375544,0.31308039650579916,0.4284690564168632,10.083025652214488,8.059159939496416,11.602278623245736,10.626419055068709,10.572044065509793,10.659569448854546,1.2876598233510541,1.0656358139310989,1.630348233343188,0.9017007352097068,0.5857617052226068,1.331689844627415,1.192983753567854e-17,1.0553560728972138e-17,1.473210283562978e-17,agn
1237648722291392551,0.3554112552223227,0.32232379642769593,0.38439093105066613,6.410145637588409,6.0941659370553465,6.84242483690369,11.27079349788253,11.257854954479157,11.28069075214305,0.8708063838154565,0.8180730896991124,0.9276447159860436,0.6979227779786001,0.5288811755344583,0.8069283421292369,1.1713423975015024e-17,1.0452820260017947e-17,1.4317990703439597e-17,agn
1237651800697339950,0.21042255929218184,0.13239695788535444,0.28262821326650367,9.552451661674166,5.030544366892948,11.358480370316785,11.607530916424867,11.455131109517692,11.64948481683682,0.998868379897922,0.7093952003626103,1.5458841942745702,0.9251374440751126,0.3899367071125043,1.3435217673082467,1.4070132550306825e-17,1.1097795051359779e-17,2.0176722602797414e-17,agn
1237651801234800759,0.235658891125807,0.11180320658349457,0.37069458701527574,9.972696256512087,7.924405944826146,10.860909023443263,11.308238628064736,11.248448927123526,11.334082091702202,1.3180589295676215,0.9191131586941073,1.809268110905852,0.9013574844243858,0.49577291077763813,1.2475431061423072,1.1341062218190975e-17,1.0360395813300902e-17,1.3355018754964274e-17,agn
1237648720679272634,1.2141122636309305,1.1205115195100745,1.2863448408979847,4.904045306129196,3.918342750407416,7.9876252799366565,11.111013472384165,11.062925901545295,11.21412776666678,0.1264914663734541,0.10755739653786446,0.16043948653995305,0.9463449288106001,0.6260721289834124,1.8160428677911897,1.1801196825617331e-17,1.0502029890589352e-17,1.4445251422167457e-17,agn
1237648721217126725,1.3153772537095385,1.28645427765803,1.3413725124970066,3.9260415383302867,3.793805326321377,4.157300190933147,10.324351637656129,10.31476375830842,10.338018732951772,1.0284697322810143,0.9866789616141555,1.0924111520547535,0.869893241237782,0.8254252694959635,0.9470919161274509,1.112724273421483e-17,1.0324841853251714e-17,1.250034155358458e-17,agn
1237650795682791595,0.07178410324721665,0.02047423642768228,0.13353755299753464,10.076596158657985,9.015877363141778,10.735078608800185,11.699194601348532,11.669317374789552,11.712300134617848,1.3664315394738473,1.1371166615416979,1.6121793020821644,0.5326881257540008,0.24129741032531007,0.854768787641628,1.0414042303204511e-17,1.0107576826378397e-17,1.1033017269191152e-17,agn
1237650795682791578,1.3256955219344906,1.241898802372176,1.426643980057463,4.869860921395986,3.7558785770417504,6.135875406958514,10.319933484654594,10.27020754989049,10.366418722863775,0.11583346666616955,0.10419425936882881,0.13832497967803317,10.210672683540778,6.59477304006056,13.470682064257655,1.4501013514525825e-17,1.1454359993522223e-17,1.9732896240674143e-17,agn
1237654670809366712,0.0687873738605843,0.025552228838582644,0.12606881569549006,9.489643935442365,7.812439801861475,10.897586243520138,10.735964992769649,10.69372723753762,10.769213993110078,1.0651924828528827,0.894494680456923,1.2898467817809731,0.8856726656326219,0.5247725633279027,1.2915726594924528,1.1842672815399429e-17,1.0543405919236507e-17,1.4485264083087493e-17,agn
1237654670809366725,1.0542714293849353,0.953084368646973,1.1617898848136834,8.365073424416805,5.583548283154032,10.8537638129135,11.143579646084202,11.061162480506773,11.193918351836603,0.12283854408948959,0.10625949074272917,0.16180822352526888,3.951633271597891,2.280225593363752,6.15865743278173,1.2817456999679846e-17,1.0817082874533542e-17,1.6922448886288718e-17,agn
1237648721217126706,1.0523051765495905,0.9314016241087127,1.2053769092403024,8.03740220469238,5.810352492336215,10.338013324337814,10.85433050204023,10.779722143004083,10.90912239194805,0.1413168525975439,0.10921688589818764,0.20252249282654877,9.721857938061575,6.432457028207413,13.285575429866745,1.4317830956767727e-17,1.1511237803063322e-17,1.8107296032130823e-17,agn
1237648721217126671,0.14461863650026893,0.1158011637211208,0.1671603913895598,8.733563731672252,7.947719620809221,10.661407647976532,11.967213260883085,11.95558849526626,12.019559968215969,1.007649201377005,0.9042460467879425,1.1260547376253842,0.8194885072768975,0.5066179494709948,1.105832285911616,1.207264615778052e-17,1.0654975846334087e-17,1.6124027809961146e-17,agn
1237648721217126584,0.25334248783830926,0.17667165562138706,0.3294742316001968,9.664676025294304,5.381120443703629,11.480149244959721,11.357997332810637,11.21910447171879,11.398295964221793,1.0821048464600533,0.8217628168096307,1.4279514639683992,0.8779246160121948,0.4413628622274211,1.2906674809848662,1.150406346592894e-17,1.0375496289673782e-17,1.4067844970569682e-17,agn
1237648720143122623,1.0467342480218929,0.8697500577947185,1.168718655508373,6.490609343598619,4.91442094686592,8.117209735828705,11.608653697646298,11.55158538863584,11.667448687067488,0.24449128519983113,0.13485837285994,0.43226962463710783,0.8321868739504252,0.567072137267213,1.152451126683629,1.1066501169709283e-17,1.0331729566185312e-17,1.2701024449331097e-17,agn
1237648720143122615,0.08971177503445815,0.03243083124530728,0.14901586530578562,9.650222937881619,6.092924091398938,11.337586155201368,11.060677773956826,10.949672036067394,11.093305946817438,1.0823465867150928,0.8389698180211523,1.6762540229358738,0.8103176434803181,0.39977401485882125,1.1757950522585003,1.0748807419425459e-17,1.013456279911668e-17,1.2372947850105709e-17,agn
1237654669735755916,1.225538059846146,1.1062680599932533,1.3495506977115954,9.134409668865503,6.841283486951035,10.620686677109578,11.58167600103425,11.52287673110729,11.62513337093085,0.15168285288634903,0.1140955621908718,0.25913094165715844,1.8399559133255934,1.1106622661275316,2.482312829427495,1.4322898551825574e-17,1.1162827053476746e-17,1.987440896024978e-17,agn
1237648720141811978,0.05074993353085727,0.013106060473619062,0.13079948944058173,10.248115854495538,9.370849806822887,10.945747951074528,11.515073040954444,11.494671344746607,11.527429786598116,1.6570194442335922,1.3480743895169052,1.9073151205647536,0.5410310835235698,0.22752978358572054,0.93065433230292,1.0652764816443459e-17,1.0193279745017034e-17,1.1670922951162062e-17,agn
1237653663648186510,0.6958698277122546,0.62888598388083,0.7476463054805003,6.009426789556721,5.1444847206260835,7.013537597206888,10.902506256135094,10.876580560344904,10.923097942302208,0.2325644590935921,0.20510345071856964,0.2914245290914768,0.6039379725612383,0.39154452611875584,0.8751554606215238,1.0617580595722027e-17,1.0195952681376034e-17,1.1442408099212787e-17,agn
1237651800698912954,0.8899911994029805,0.7616234007214975,1.0375350232354823,7.97301487004844,5.595591315170335,10.337942486289926,10.954236428214015,10.888562088863367,11.01204702593902,0.13942621764998103,0.11087887036607676,0.19538553683234808,8.920678069117582,5.745007928879725,12.80876833654893,2.5505086424409625e-17,1.9467932088382867e-17,3.232510039960628e-17,agn
1237651800697405602,0.2141553297341688,0.15887451519004112,0.2874707107184063,9.140355528884875,7.359366322611294,11.124555407138365,10.989549469885333,10.931028278446618,11.035213982499691,1.0945567227380306,0.9292494136198857,1.345090999625454,0.9006144516669956,0.5686040847802026,1.351383368268785,1.112801755551409e-17,1.0280394328186247e-17,1.2669206506543625e-17,agn
1237651800697405595,0.6131947639681999,0.430716824983114,0.7204796733041714,6.884213975330469,5.223382092915817,9.855930250326324,11.565715356976611,11.52297044031218,11.657247327965154,0.26414160752044236,0.18780115525974309,0.505366691141497,0.6783186790204133,0.37001873773980315,1.02204206190699,1.0841840094457184e-17,1.0248153671317386e-17,1.2103601011120639e-17,agn
1237651799623401613,0.11231243780839213,0.024876426907313485,0.3058062168722405,9.734808897087936,6.569615785971446,11.56176637016251,10.769862539154989,10.670359574524667,10.805151821613949,0.6894656088205636,0.39741830316308613,0.9760371397889893,0.8058917745773966,0.39449010997938555,1.1962925607702468,1.1410952742395156e-17,1.0344045288589631e-17,1.3637131882460207e-17,agn
1237650795683184774,0.09996488210550998,0.05133559580656091,0.15270526160609757,9.543823262281588,6.775960964551836,11.59375635821698,11.063069501179271,10.975028436411169,11.110535577950646,0.9526265212891855,0.7775842465258334,1.216288624814711,0.8308306302559134,0.5123003273297857,1.2636502042096727,1.191380128574131e-17,1.0470598132421629e-17,1.4691162898119972e-17,agn
1237651801770295403,0.9233556646652319,0.8675428121325317,0.9698264380402472,7.553128375750319,6.377916250576636,8.365944116570622,11.362557303924968,11.331150734059845,11.38457773477843,0.2199436332171144,0.2035413707967344,0.26296744871007693,0.576156498542481,0.3186114209430376,0.830064990458776,1.0827880604846446e-17,1.0245875090542107e-17,1.2016273874731904e-17,agn
1237651752921596015,0.7025139636215606,0.5950253530903604,0.8202688683791044,9.735068913324774,7.499099172257032,11.777901091684381,11.086747276277624,11.021737407576422,11.13222622639518,0.9955467793700618,0.6710404572539752,1.4231965287973425,1.1180874103359966,0.6403362844395809,1.5171183611019103,1.184366965898663e-17,1.0606029132670972e-17,1.4256620854799635e-17,agn
1237648721221976086,0.37564432290867755,0.286437680997534,0.4631428481204328,9.12010361163562,5.1713115214749354,10.781068766146483,11.688835869768495,11.567566098006733,11.74501431395649,1.0600561046686963,0.7205735860915533,1.4554795958167146,0.6703879814058908,0.39164356309634946,1.22717995238002,1.2330942570229108e-17,1.0531399937582619e-17,1.4901394993614237e-17,agn
1237648721219223677,0.29764744053596237,0.2024941853638797,0.4066415888501568,5.341831305373894,4.375141534222537,9.408581332179455,11.17551105928981,11.118956630093038,11.298685427017539,0.6834358242935556,0.4931390913431875,0.8791201475470237,0.5852943605536814,0.4289038874471593,0.9945470371488273,1.0925347255928269e-17,1.0250314732175585e-17,1.2331262942253505e-17,agn
1237648722289623338,0.19937051583677928,0.13123726335147098,0.2664906625225017,10.491963661268837,9.760545577382057,11.112403357360408,11.785428959269943,11.771711970482746,11.794915731172669,1.762466478420835,1.4829228801524772,2.047772914467053,0.5916555241180919,0.22270613401317457,0.9336371642765524,1.0797168437557028e-17,1.0200689024729454e-17,1.1774637405359117e-17,agn
1237648721215946884,0.572772739891653,0.5010891027930329,0.6444861952157295,10.796920601288996,9.66257700662846,12.037387443089326,11.278414491728583,11.258499389065259,11.31435962994507,1.756685633093847,1.4434900627476344,2.0808677509567115,0.7349279419721971,0.3633120771293987,1.1058181376079375,1.1071308258806182e-17,1.0264251633355876e-17,1.298197203114812e-17,agn
1237648720684974261,1.1340873238317548,1.0019430409327836,1.2438616048134379,8.010909950641508,4.9588167298552985,10.309879851619034,11.174510771686027,11.079107581649986,11.225151060312209,0.11558241653381963,0.10463738921208933,0.1389939032652626,3.3307377457145058,1.9471999693958628,5.430977342713306,1.1972217150410979e-17,1.0592100102928331e-17,1.4668608939253214e-17,agn
1237648720684974224,0.21715975918433195,0.1228402409480275,0.2896260614949375,10.098684690865934,8.09087217753842,11.208928484481445,11.251779985440876,11.201870471687316,11.271478787818804,1.3869847671738083,1.0822839669840003,1.826237249094842,0.7394305925675777,0.39630462677170497,1.1893831023285089,1.1081046425911334e-17,1.0284607191634184e-17,1.2658893478463086e-17,agn
