objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237648720142139625,146.093435671409,-1.00818107996207,3.081083,0.06589106,GALAXY,20.06977,18.32167,17.51046,17.12522,16.83066,15.71247,True
1237648720142270656,146.432797355117,-0.987378009062472,3.590598,0.1404723,GALAXY,20.43741,18.42003,17.31446,16.85592,16.49146,15.94299,False
1237648720142336185,146.51281767756,-0.84578295276744,9.461358,0.06490172,GALAXY,17.37162,16.17903,15.5015,15.05806,14.78616,24.35292,True
1237648720142336237,146.571322012569,-0.957206943582653,8.935108,0.06518305,GALAXY,18.5427,17.0509,16.25521,15.79538,15.45037,16.72298,True
1237648720143712324,149.654673480524,-0.92950537317698,9.183173,0.06139873,GALAXY,17.67831,15.62343,14.68135,14.21932,13.86801,38.14529,True
1237648720143712465,149.646438224128,-0.915968123637987,5.180018,0.06053571,GALAXY,19.56628,17.77236,16.90207,16.52229,16.21778,15.23812,True
1237648720145416288,153.509798588881,-0.891685474557746,4.532525,0.0448721,GALAXY,19.10999,17.1925,16.28523,15.87091,15.53726,24.20485,True
1237648720145416349,153.603378121227,-0.874026992747964,30.48748,0.09769554,GALAXY,19.49077,17.53573,16.53602,16.09453,15.77519,16.11104,True
1237648720145416474,153.540018643671,-0.8683832929666,4.308914,0.04596619,GALAXY,19.01592,17.21737,16.36308,15.96802,15.64436,26.03246,True
1237648720145416478,153.556596500941,-0.888660136125322,3.523816,0.04484872,GALAXY,19.4264,17.58161,16.70197,16.3038,15.97732,23.33371,True
1237648720145416509,153.583220263523,-0.858475024380288,5.165536,0.04957389,GALAXY,19.33736,17.47616,16.63656,16.25256,15.95621,14.674,True
1237648720679338241,146.864323882311,-0.464067816616998,3.994327,0.06510994,GALAXY,19.17866,17.87613,17.18678,16.72502,16.46977,13.65406,True
1237648720682418354,153.855929410489,-0.613278254147395,3.063227,0.0440147,GALAXY,19.96288,18.27086,17.50739,17.13943,16.86249,14.53201,True
1237648720682483855,153.949939816515,-0.458874154438609,5.818014,0.1234957,GALAXY,18.80463,17.62592,16.89912,16.51163,16.24456,13.86755,False
1237648720682483961,154.066878158545,-0.495844829747426,3.121778,0.107872,GALAXY,19.25523,18.06884,17.4809,17.08892,16.88343,15.01167,False
1237648721216209055,146.811996193846,-0.1900383146915,4.522445,0.06215091,GALAXY,19.61221,17.55931,16.56294,16.0865,15.7095,22.68423,True
1237648721216405657,147.24801770212,-0.0357085690947416,4.708797,0.08419658,GALAXY,20.38689,18.09273,17.01718,16.50344,16.11856,17.61474,True
1237648721217716259,150.236207799024,-0.106483009206982,5.778851,0.1054762,GALAXY,19.3397,17.51147,16.53505,16.11361,15.77571,21.67512,False
1237648721217716302,150.28976277301,-0.0795036304952191,10.56441,0.04526348,GALAXY,17.49319,15.53202,14.58186,14.11206,13.79795,41.54018,True
1237648721217716327,150.285786378341,-0.193478225913073,5.600917,0.04565933,GALAXY,19.24612,17.79707,17.1165,16.71693,16.42833,10.57859,True
1237648721217716376,150.208211947633,-0.149159040367351,8.375134,0.04281429,GALAXY,17.52312,16.11988,15.57625,15.25449,15.03674,22.58787,True
1237648721217716396,150.227080685373,-0.0311082409736053,6.238085,0.09491993,GALAXY,19.0446,17.59115,16.84054,16.42082,16.12059,14.00336,True
1237648721217716426,150.255640129382,-0.0638114428004802,4.109788,0.09239345,GALAXY,18.87419,17.43731,16.71679,16.30246,16.0468,21.19518,True
1237648721217716445,150.280206118054,-0.0440685941959203,3.643009,0.08847246,GALAXY,19.70678,17.64249,16.67945,16.2367,15.87246,23.09312,True
1237648721217716475,150.294866402111,-0.107150832635817,3.290154,0.09199978,GALAXY,18.72972,17.72304,17.39474,17.12132,17.04659,18.69503,True
